
Best fit: 0	Avg fit: 0
Best fit: 38502	Avg fit: 2805.064
Best fit: 19511.2	Avg fit: 1751.164
Best fit: 19511.2	Avg fit: 2308.1
Best fit: 19511.2	Avg fit: 2159.54
Best fit: 20068.2	Avg fit: 3058.84
Best fit: 19546	Avg fit: 2944.84
Best fit: 21600	Avg fit: 2401.376
Best fit: 41528	Avg fit: 3666.84
Best fit: 79992.2	Avg fit: 4899.444
Best fit: 77531	Avg fit: 5576.56
Best fit: 26849	Avg fit: 2647.864
Best fit: 23191.6	Avg fit: 2307.652
Best fit: 2644818.8	Avg fit: 62623.752
Best fit: 1906446.2	Avg fit: 43312.532
Best fit: 4239364.8	Avg fit: 121577.86
Best fit: 200172454.4	Avg fit: 4108750.68
Best fit: 3140499.6	Avg fit: 65455.992
Best fit: 8.8	Avg fit: 1.808
Best fit: 38.4	Avg fit: 3.004
Best fit: 51.2	Avg fit: 5.352
Best fit: 51.2	Avg fit: 8.01600000000001
Best fit: 249	Avg fit: 30.156
Best fit: 249	Avg fit: 44.144
Best fit: 308.2	Avg fit: 48.84
Best fit: 282.8	Avg fit: 52.864
Best fit: 409.6	Avg fit: 53.128
Best fit: 998.6	Avg fit: 121.44
Best fit: 1386.8	Avg fit: 148.66
Best fit: 1464	Avg fit: 242.872
Best fit: 1757.6	Avg fit: 184.256
Best fit: 1757.6	Avg fit: 194.064
Best fit: 1766.6	Avg fit: 204.824
Best fit: 1584.4	Avg fit: 176.732
Best fit: 1278.8	Avg fit: 123.312
Best fit: 1757.6	Avg fit: 219.18
Best fit: 1757.6	Avg fit: 164.204
Best fit: 1757.6	Avg fit: 191.172
Best fit: 1757.6	Avg fit: 199.796
Best fit: 1757.6	Avg fit: 216.484
Best fit: 1518.2	Avg fit: 248.468
Best fit: 1757.6	Avg fit: 237.668
Best fit: 2137.4	Avg fit: 352.576
Best fit: 1757.6	Avg fit: 233.028
Best fit: 1820	Avg fit: 256.924
Best fit: 1757.6	Avg fit: 300.6
Best fit: 1867	Avg fit: 265.464
Best fit: 1757.6	Avg fit: 304.62
Best fit: 1757.6	Avg fit: 290.308
Best fit: 1757.6	Avg fit: 36.812
Best fit: 1345	Avg fit: 29.424
Best fit: 1898	Avg fit: 42.764
Best fit: 1757.6	Avg fit: 38.576
Best fit: 1345	Avg fit: 27.912
Best fit: 1584.4	Avg fit: 33.764
Best fit: 1757.6	Avg fit: 39.224
Best fit: 1147.4	Avg fit: 25.38
Best fit: 1518.2	Avg fit: 43.84
Best fit: 1318.2	Avg fit: 28
Best fit: 908	Avg fit: 20.232
Best fit: 908	Avg fit: 19.104
Best fit: 1757.6	Avg fit: 36.648
Best fit: 1518.2	Avg fit: 43.264
Best fit: 1016	Avg fit: 23.28
Best fit: 1147.4	Avg fit: 24.108
Best fit: 1757.6	Avg fit: 36.46
Best fit: 1584.4	Avg fit: 33.356
Best fit: 1147.4	Avg fit: 24.356
Best fit: 1757.6	Avg fit: 37.544
Best fit: 1147.4	Avg fit: 40.488
Best fit: 1490.6	Avg fit: 35.128
Best fit: 1518.2	Avg fit: 32.256
Best fit: 1518.2	Avg fit: 31.536
Best fit: 1518.2	Avg fit: 31.456
Best fit: 1518.2	Avg fit: 31.796
Best fit: 1518.2	Avg fit: 31.956
Best fit: 1757.6	Avg fit: 37.624
Best fit: 1318.2	Avg fit: 28.376
Best fit: 1213.6	Avg fit: 26.112
Best fit: 1757.6	Avg fit: 36.728
Best fit: 1757.6	Avg fit: 36.14
Best fit: 1518.2	Avg fit: 32.344
Best fit: 1278.8	Avg fit: 27.124
Best fit: 1053.6	Avg fit: 23.496
Best fit: 1518.2	Avg fit: 31.336
Best fit: 1278.8	Avg fit: 28.852
Best fit: 1386.8	Avg fit: 28.956
Best fit: 1518.2	Avg fit: 31.528
Best fit: 1757.6	Avg fit: 36.68
Best fit: 1518.2	Avg fit: 31.896
Best fit: 842.8	Avg fit: 19.768
Best fit: 1345	Avg fit: 33.392
Best fit: 1318.2	Avg fit: 28.52
Best fit: 1278.8	Avg fit: 26.764
Best fit: 1518.2	Avg fit: 31.744
Best fit: 1147.4	Avg fit: 38.38
Best fit: 1318.2	Avg fit: 27.948
Best fit: 1147.4	Avg fit: 25.836
Best fit: 1386.8	Avg fit: 30.62
Best fit: 1119.8	Avg fit: 24.18
Best fit: 1213.6	Avg fit: 30.464
Best fit: 1757.6	Avg fit: 37.284
Best fit: 1518.2	Avg fit: 31.36
Best fit: 1386.8	Avg fit: 28.64
Best fit: 1757.6	Avg fit: 37.676
Best fit: 1345	Avg fit: 29.632
Best fit: 932.4	Avg fit: 21.68
Best fit: 1757.6	Avg fit: 36.764
Best fit: 1584.4	Avg fit: 32.812
Best fit: 1518.2	Avg fit: 32.252
Best fit: 1757.6	Avg fit: 40.16
Best fit: 1386.8	Avg fit: 29.368
Best fit: 1584.4	Avg fit: 32.812
Best fit: 1518.2	Avg fit: 31.704
Best fit: 1016	Avg fit: 27.876
Best fit: 1757.6	Avg fit: 37.46
Best fit: 1518.2	Avg fit: 31.92
Best fit: 1318.2	Avg fit: 27.728
Best fit: 1386.8	Avg fit: 28.828
Best fit: 1411.2	Avg fit: 29.772
Best fit: 1757.6	Avg fit: 36.424
Best fit: 1518.2	Avg fit: 32.456
Best fit: 1757.6	Avg fit: 36.528
Best fit: 1518.2	Avg fit: 32.444
